,Country,AvgTemperature,suicides/100k pop,military_exp
0,Albania,16.903193529412338,47.152857142857144,1.4747571427052686
1,Argentina,17.01707071649196,121.88263157894737,0.9925880212895982
2,Australia,16.914339500449557,147.3816666666667,1.8377558202713598
3,Austria,10.591613800206048,254.5547368421052,0.9015154117326597
4,Bahrain,27.27689797267222,22.948235294117644,4.12248945567538
5,Belarus,7.483335088292368,394.88533333333334,1.4322652667730316
6,Belgium,10.737883171693793,239.52473684210528,1.2325382510965046
7,Brazil,22.089507442571573,72.03210526315792,1.5819401072163617
8,Bulgaria,10.731872428562063,205.87277777777777,2.210032299059819
9,Canada,6.806417624926085,138.6384210526316,1.2040260789340989
10,Colombia,13.391235362609725,72.66,3.3999541745534017
11,Costa Rica,22.642378274837146,87.21631578947367,0.0
12,Croatia,12.249150100725592,278.44555555555553,3.440544392284589
13,Cyprus,21.646866255038784,31.236666666666665,2.5545134814661923
14,Czech Republic,8.677782574056348,207.61631578947373,1.5643201343804571
15,Denmark,8.361174021791443,168.90947368421052,1.447375686705449
16,Finland,5.981254931294554,248.63684210526313,1.4143080001577033
17,France,12.989073110745686,234.30526315789476,2.080619632120838
18,Germany,9.902498600405286,174.60105263157894,1.3319929040302547
19,Greece,18.386493574414313,43.83944444444444,2.95345091739579
20,Guatemala,19.28860702957303,37.35947368421052,0.6267151445798262
21,Hungary,10.659725749094411,378.56842105263166,1.3070745970465587
22,Iceland,5.279537391804949,147.44631578947366,0.0
23,Ireland,9.733511467471715,136.09157894736842,0.6613601995333148
24,Israel,21.257948306995438,102.32307692307694,6.477832861325287
25,Italy,14.11890335274814,94.02368421052631,1.58141221348258
26,Japan,13.446836649456678,261.01684210526315,0.9409535808320688
27,Kazakhstan,9.753015541873665,381.9436842105263,1.0401835894646652
28,Kuwait,26.920333197864085,14.58842105263158,6.070660285484299
29,Latvia,7.373702413755371,361.7405263157895,1.1540565186109533
30,Mexico,20.700325352319396,60.20473684210527,0.4337274127008096
31,New Zealand,15.387772664166024,166.39947368421056,1.4653159066014991
32,Nicaragua,27.466574777382625,82.8875,0.7099800101966537
33,Norway,5.311210681663518,144.06210526315786,1.7505256801284896
34,Oman,29.218562874251482,12.495000000000001,8.775302215214676
35,Panama,27.270498576418213,74.9261111111111,0.2787867515611794
36,Philippines,27.87983501691563,31.080769230769228,1.5073374263989614
37,Poland,8.787398320542524,184.18705882352938,1.8882581947536285
38,Portugal,17.17820682373302,127.27499999999999,1.969769742332014
39,Romania,11.423867038335274,151.2915789473684,1.9996451561977673
40,Singapore,27.821578209480077,170.80315789473684,4.1787033746575455
41,South Africa,16.85895706669765,11.300555555555555,1.3696004296294788
42,Spain,15.448261065936393,109.54736842105267,1.5206632325145735
43,Sri Lanka,27.414645868480804,396.71555555555557,3.6283037117655494
44,Sweden,7.482398121725251,161.71473684210525,1.5370588135520824
45,Switzerland,10.155840463568316,235.12157894736845,0.926638238775975
46,Thailand,28.883211857564916,87.69666666666666,1.5915251560362471
47,Turkey,13.478320714766928,27.974,2.960050232160329
48,Ukraine,8.887889181732445,326.9922222222222,1.9545670025651034
49,United Kingdom,10.90307885460282,83.24947368421054,2.2561675853502625
50,Uruguay,16.194657312289536,251.45444444444445,2.1585003067108026
